"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCF_000154045.1_ASM15404v1","GCF_000182385.1_ASM18238v1"
"group_1884","","hypothetical protein","1","1","1","523","538","933","4","","539","539","539","","GCF_000182385.1_ASM18238v1_02577"
"group_1885","","hypothetical protein","1","1","1","523","537","933","3","","1004","1004","1004","","GCF_000182385.1_ASM18238v1_02578"
"group_1886","","hypothetical protein","1","1","1","523","536","933","2","","2174","2174","2174","","GCF_000182385.1_ASM18238v1_02579"
"group_1887","","hypothetical protein","1","1","1","523","535","933","1","","518","518","518","","GCF_000182385.1_ASM18238v1_02580"
"group_1888","","hypothetical protein","1","1","1","509","26","621","2","","335","335","335","","GCF_000182385.1_ASM18238v1_02584"
"group_1889","","hypothetical protein","1","1","1","509","27","621","1","","398","398","398","","GCF_000182385.1_ASM18238v1_02585"
"ybjL","","Putative transport protein YbjL","1","1","1","165","2","616","1","Investigate","344","344","344","GCF_000154045.1_ASM15404v1_00497",""
"holA","","DNA polymerase III subunit delta","1","1","1","505","9","87","1","","1019","1019","1019","","GCF_000182385.1_ASM18238v1_02598"
"petB","","Cytochrome b","1","1","1","510","5","261","1","","1265","1265","1265","","GCF_000182385.1_ASM18238v1_02639"
"group_1892","","hypothetical protein","1","1","1","522","179","871","3","","305","305","305","","GCF_000182385.1_ASM18238v1_02646"
"tsaB","","tRNA threonylcarbamoyladenosine biosynthesis protein TsaB","1","1","1","522","178","871","4","","701","701","701","","GCF_000182385.1_ASM18238v1_02647"
"yoaA","","putative ATP-dependent DNA helicase YoaA","1","1","1","522","175","871","5","","1919","1919","1919","","GCF_000182385.1_ASM18238v1_02648"
"purU","","Formyltetrahydrofolate deformylase","1","1","1","522","176","871","2","","833","833","833","","GCF_000182385.1_ASM18238v1_02649"
"yecM","","Protein YecM","1","1","1","522","177","871","1","","599","599","599","","GCF_000182385.1_ASM18238v1_02650"
"group_1897","ybfF","Esterase YbfF","1","1","1","522","205","88","1","","767","767","767","","GCF_000182385.1_ASM18238v1_02673"
"fldA","","Flavodoxin","1","1","1","522","207","815","2","","533","533","533","","GCF_000182385.1_ASM18238v1_02675"
"group_1899","","hypothetical protein","1","1","1","522","208","815","3","","503","503","503","","GCF_000182385.1_ASM18238v1_02676"
"bamA_1","","Outer membrane protein assembly factor BamA","1","1","1","408","1","365","1","Investigate","704","704","704","GCF_000154045.1_ASM15404v1_00559",""
"fur","","Ferric uptake regulation protein","1","1","1","522","209","815","1","","449","449","449","","GCF_000182385.1_ASM18238v1_02677"
"cysZ","","Sulfate transporter CysZ","1","1","1","522","241","870","2","","743","743","743","","GCF_000182385.1_ASM18238v1_02709"
"cysK_1","","Cysteine synthase A","1","1","1","522","242","870","3","","968","968","968","","GCF_000182385.1_ASM18238v1_02710"
"ptsH","","Phosphocarrier protein HPr","1","1","1","522","243","870","4","","257","257","257","","GCF_000182385.1_ASM18238v1_02711"
"group_1904","","hypothetical protein","1","1","1","522","244","870","5","","170","170","170","","GCF_000182385.1_ASM18238v1_02712"
"ptsI","","Phosphoenolpyruvate-protein phosphotransferase","1","1","1","522","245","870","1","","1724","1724","1724","","GCF_000182385.1_ASM18238v1_02713"
"group_1906","","hypothetical protein","1","1","1","522","264","119","1","","317","317","317","","GCF_000182385.1_ASM18238v1_02732"
"group_1907","","hypothetical protein","1","1","1","522","247","","","","140","140","140","","GCF_000182385.1_ASM18238v1_02749"
"group_1908","","hypothetical protein","1","1","1","516","12","","","","212","212","212","","GCF_000182385.1_ASM18238v1_02778"
"cadC","","Transcriptional activator CadC","1","1","1","511","14","215","1","","1568","1568","1568","","GCF_000182385.1_ASM18238v1_02791"
"group_191","","hypothetical protein","1","1","1","215","1","541","1","Investigate","260","260","260","GCF_000154045.1_ASM15404v1_00528",""
"group_1910","","hypothetical protein","1","1","1","511","10","911","5","","1493","1493","1493","","GCF_000182385.1_ASM18238v1_02796"
"group_1911","","hypothetical protein","1","1","1","511","9","911","6","","1217","1217","1217","","GCF_000182385.1_ASM18238v1_02797"
"group_1912","","hypothetical protein","1","1","1","511","8","911","7","","1133","1133","1133","","GCF_000182385.1_ASM18238v1_02798"
"group_1913","","hypothetical protein","1","1","1","511","1","911","8","","1358","1358","1358","","GCF_000182385.1_ASM18238v1_02799"
"group_1914","","hypothetical protein","1","1","1","511","2","911","9","","2366","2366","2366","","GCF_000182385.1_ASM18238v1_02800"
"group_1915","","hypothetical protein","1","1","1","511","3","911","10","","236","236","236","","GCF_000182385.1_ASM18238v1_02801"
"group_1916","","hypothetical protein","1","1","1","511","4","911","4","","428","428","428","","GCF_000182385.1_ASM18238v1_02802"
"group_1917","","hypothetical protein","1","1","1","511","5","911","3","","2645","2645","2645","","GCF_000182385.1_ASM18238v1_02803"
"group_1918","","hypothetical protein","1","1","1","511","6","911","2","","1604","1604","1604","","GCF_000182385.1_ASM18238v1_02804"
"group_1919","","hypothetical protein","1","1","1","511","7","911","1","","1295","1295","1295","","GCF_000182385.1_ASM18238v1_02805"
"gap3_1","","Glyceraldehyde-3-phosphate dehydrogenase 3","1","1","1","522","173","543","2","","353","353","353","GCF_000154045.1_ASM15404v1_02321",""
"rplJ","","50S ribosomal protein L10","1","1","1","511","35","879","1","","488","488","488","","GCF_000182385.1_ASM18238v1_02819"
"rplA","","50S ribosomal protein L1","1","1","1","511","34","879","2","","701","701","701","","GCF_000182385.1_ASM18238v1_02820"
"rplK","","50S ribosomal protein L11","1","1","1","511","33","879","3","","428","428","428","","GCF_000182385.1_ASM18238v1_02821"
"nusG","","Transcription termination/antitermination protein NusG","1","1","1","511","32","879","4","","548","548","548","","GCF_000182385.1_ASM18238v1_02822"
"secE","","Protein translocase subunit SecE","1","1","1","511","31","879","5","","380","380","380","","GCF_000182385.1_ASM18238v1_02823"
"group_1925","","hypothetical protein","1","1","1","521","264","782","1","","140","140","140","","GCF_000182385.1_ASM18238v1_02883"
"group_1926","","hypothetical protein","1","1","1","521","263","782","2","","2321","2321","2321","","GCF_000182385.1_ASM18238v1_02884"
"group_1927","","hypothetical protein","1","1","1","521","317","70","1","","398","398","398","","GCF_000182385.1_ASM18238v1_02918"
"group_1928","","hypothetical protein","1","1","1","521","323","42","1","","350","350","350","","GCF_000182385.1_ASM18238v1_02922"
"coaBC","","Coenzyme A biosynthesis bifunctional protein CoaBC","1","1","1","521","406","252","1","","1199","1199","1199","","GCF_000182385.1_ASM18238v1_03009"
"gap3_3","","Glyceraldehyde-3-phosphate dehydrogenase 3","1","1","1","254","1","721","1","Investigate","914","914","914","GCF_000154045.1_ASM15404v1_04491",""
"group_1930","","hypothetical protein","1","1","1","521","409","9","1","","674","674","674","","GCF_000182385.1_ASM18238v1_03011"
"rffG","","dTDP-glucose 4,6-dehydratase 2","1","1","1","521","426","929","8","","1064","1064","1064","","GCF_000182385.1_ASM18238v1_03024"
"group_1932","rffH","Glucose-1-phosphate thymidylyltransferase 2","1","1","1","521","427","929","9","","866","866","866","","GCF_000182385.1_ASM18238v1_03025"
"fdtA","","TDP-4-oxo-6-deoxy-alpha-D-glucose-3,4-oxoisomerase","1","1","1","521","428","929","10","","413","413","413","","GCF_000182385.1_ASM18238v1_03026"
"group_1934","","hypothetical protein","1","1","1","521","429","929","11","","521","521","521","","GCF_000182385.1_ASM18238v1_03027"
"fdtB","","dTDP-3-amino-3,6-dideoxy-alpha-D-galactopyranose transaminase","1","1","1","521","430","929","12","","1106","1106","1106","","GCF_000182385.1_ASM18238v1_03028"
"group_1936","","hypothetical protein","1","1","1","521","431","929","13","","929","929","929","","GCF_000182385.1_ASM18238v1_03029"
"group_1937","","hypothetical protein","1","1","1","521","432","929","14","","929","929","929","","GCF_000182385.1_ASM18238v1_03030"
"group_1938","","hypothetical protein","1","1","1","521","433","929","15","","413","413","413","","GCF_000182385.1_ASM18238v1_03031"
"group_1939","","Decaprenyl-phosphate phosphoribosyltransferase","1","1","1","521","434","929","16","","851","851","851","","GCF_000182385.1_ASM18238v1_03032"
"deaD_1","","ATP-dependent RNA helicase DeaD","1","1","1","480","1","844","3","","329","329","329","GCF_000154045.1_ASM15404v1_00529",""
"group_1940","","hypothetical protein","1","1","1","521","435","929","17","","395","395","395","","GCF_000182385.1_ASM18238v1_03033"
"dprE1","","Decaprenylphosphoryl-beta-D-ribose oxidase","1","1","1","521","436","929","18","","1283","1283","1283","","GCF_000182385.1_ASM18238v1_03034"
"group_1942","","putative oxidoreductase","1","1","1","521","437","929","19","","737","737","737","","GCF_000182385.1_ASM18238v1_03035"
"group_1943","","hypothetical protein","1","1","1","521","438","929","20","","1622","1622","1622","","GCF_000182385.1_ASM18238v1_03036"
"waaA","","3-deoxy-D-manno-octulosonic acid transferase","1","1","1","521","439","929","21","","1280","1280","1280","","GCF_000182385.1_ASM18238v1_03037"
"wbnK","","O-antigen biosynthesis glycosyltransferase WbnK","1","1","1","521","440","929","22","","830","830","830","","GCF_000182385.1_ASM18238v1_03038"
"group_1946","rfaF","ADP-heptose--LPS heptosyltransferase 2","1","1","1","521","441","929","23","","1055","1055","1055","","GCF_000182385.1_ASM18238v1_03039"
"group_1947","","hypothetical protein","1","1","1","521","442","929","7","","722","722","722","","GCF_000182385.1_ASM18238v1_03040"
"lpxM","","Lipid A biosynthesis myristoyltransferase","1","1","1","521","443","929","6","","986","986","986","","GCF_000182385.1_ASM18238v1_03041"
"group_1949","hldD","ADP-L-glycero-D-manno-heptose-6-epimerase","1","1","1","521","444","929","5","","941","941","941","","GCF_000182385.1_ASM18238v1_03042"
"group_1950","","hypothetical protein","1","1","1","521","445","929","4","","2198","2198","2198","","GCF_000182385.1_ASM18238v1_03043"
"group_1951","","hypothetical protein","1","1","1","521","446","929","3","","761","761","761","","GCF_000182385.1_ASM18238v1_03044"
"group_1952","gfcB","putative lipoprotein GfcB","1","1","1","521","447","929","2","","674","674","674","","GCF_000182385.1_ASM18238v1_03045"
"group_1953","","hypothetical protein","1","1","1","521","448","929","1","","515","515","515","","GCF_000182385.1_ASM18238v1_03047"
"group_1954","","hypothetical protein","1","1","1","521","450","931","20","","968","968","968","","GCF_000182385.1_ASM18238v1_03049"
"group_1955","","hypothetical protein","1","1","1","521","451","931","21","","380","380","380","","GCF_000182385.1_ASM18238v1_03050"
"group_1956","","hypothetical protein","1","1","1","521","452","931","22","","1586","1586","1586","","GCF_000182385.1_ASM18238v1_03051"
"group_1957","","hypothetical protein","1","1","1","521","453","931","23","","737","737","737","","GCF_000182385.1_ASM18238v1_03052"
"group_1958","","hypothetical protein","1","1","1","521","454","931","24","","1055","1055","1055","","GCF_000182385.1_ASM18238v1_03053"
"group_1959","","hypothetical protein","1","1","1","521","455","931","25","","1259","1259","1259","","GCF_000182385.1_ASM18238v1_03054"
"hemX","","Protein HemX","1","1","1","355","1","611","1","Investigate","698","698","698","GCF_000154045.1_ASM15404v1_00534",""
"group_1960","","hypothetical protein","1","1","1","521","456","931","26","","1121","1121","1121","","GCF_000182385.1_ASM18238v1_03055"
"group_1961","","hypothetical protein","1","1","1","521","457","931","27","","1154","1154","1154","","GCF_000182385.1_ASM18238v1_03056"
"group_1962","","hypothetical protein","1","1","1","521","458","931","28","","998","998","998","","GCF_000182385.1_ASM18238v1_03057"
"group_1963","","hypothetical protein","1","1","1","521","459","931","29","","848","848","848","","GCF_000182385.1_ASM18238v1_03058"
"gmd","","GDP-mannose 4,6-dehydratase","1","1","1","521","460","931","19","","1106","1106","1106","","GCF_000182385.1_ASM18238v1_03059"
"fcl","","GDP-L-fucose synthase","1","1","1","521","461","931","18","","959","959","959","","GCF_000182385.1_ASM18238v1_03060"
"gmm","","GDP-mannose mannosyl hydrolase","1","1","1","521","462","931","17","","455","455","455","","GCF_000182385.1_ASM18238v1_03061"
"manC1","","Mannose-1-phosphate guanylyltransferase 1","1","1","1","521","463","931","16","","1442","1442","1442","","GCF_000182385.1_ASM18238v1_03062"
"glmM_2","","Phosphoglucosamine mutase","1","1","1","521","464","931","15","","1427","1427","1427","","GCF_000182385.1_ASM18238v1_03063"
"manA_4","","Mannose-6-phosphate isomerase","1","1","1","521","465","931","14","","1217","1217","1217","","GCF_000182385.1_ASM18238v1_03064"
"group_197","","hypothetical protein","1","1","1","428","1","734","1","Investigate","227","227","227","GCF_000154045.1_ASM15404v1_02440",""
"wbbD","","UDP-Gal:alpha-D-GlcNAc-diphosphoundecaprenol beta-1,3-galactosyltransferase","1","1","1","521","466","931","13","","809","809","809","","GCF_000182385.1_ASM18238v1_03065"
"group_1971","","hypothetical protein","1","1","1","521","223","931","12","","1007","1007","1007","","GCF_000182385.1_ASM18238v1_03066"
"ugd","","UDP-glucose 6-dehydrogenase","1","1","1","521","222","931","11","","1166","1166","1166","","GCF_000182385.1_ASM18238v1_03067"
"group_1973","","IS256 family transposase ISSod4","1","1","1","521","220","931","9","","1202","1202","1202","","GCF_000182385.1_ASM18238v1_03069"
"group_1974","","Ribonuclease","1","1","1","521","219","931","8","","275","275","275","","GCF_000182385.1_ASM18238v1_03070"
"group_1975","","hypothetical protein","1","1","1","521","218","931","7","","458","458","458","","GCF_000182385.1_ASM18238v1_03071"
"group_1976","","hypothetical protein","1","1","1","521","217","931","6","","2822","2822","2822","","GCF_000182385.1_ASM18238v1_03072"
"group_1977","","hypothetical protein","1","1","1","521","216","931","5","","743","743","743","","GCF_000182385.1_ASM18238v1_03073"
"group_1978","","hypothetical protein","1","1","1","521","215","931","4","","620","620","620","","GCF_000182385.1_ASM18238v1_03074"
"group_1979","","IS481 family transposase ISVvu4","1","1","1","521","214","931","3","","1040","1040","1040","","GCF_000182385.1_ASM18238v1_03075"
"group_198","","hypothetical protein","1","1","1","522","70","204","1","","1211","1211","1211","","GCF_000182385.1_ASM18238v1_02849"
"group_1980","","IS3 family transposase ISVpa2","1","1","1","521","213","931","2","","659","659","659","","GCF_000182385.1_ASM18238v1_03076"
"group_1981","","IS3 family transposase ISVpa2","1","1","1","521","212","931","1","","284","284","284","","GCF_000182385.1_ASM18238v1_03077"
"zapB","","Cell division protein ZapB","1","1","1","521","205","185","1","","242","242","242","","GCF_000182385.1_ASM18238v1_03084"
"group_1983","","hypothetical protein","1","1","1","521","202","901","1","","803","803","803","","GCF_000182385.1_ASM18238v1_03087"
"group_1984","","hypothetical protein","1","1","1","521","201","901","2","","656","656","656","","GCF_000182385.1_ASM18238v1_03088"
"group_1985","","hypothetical protein","1","1","1","521","200","901","7","","1163","1163","1163","","GCF_000182385.1_ASM18238v1_03089"
"group_1986","","hypothetical protein","1","1","1","521","199","901","6","","791","791","791","","GCF_000182385.1_ASM18238v1_03090"
"group_1987","","hypothetical protein","1","1","1","521","195","901","5","","431","431","431","","GCF_000182385.1_ASM18238v1_03091"
"group_1988","","hypothetical protein","1","1","1","521","196","901","4","","473","473","473","","GCF_000182385.1_ASM18238v1_03092"
"group_1989","","hypothetical protein","1","1","1","521","197","901","3","","224","224","224","","GCF_000182385.1_ASM18238v1_03093"
"group_199","","hypothetical protein","1","1","1","19","1","359","1","Investigate","329","329","329","GCF_000154045.1_ASM15404v1_00539",""
"cytR","","HTH-type transcriptional repressor CytR","1","1","1","521","6","50","1","","1007","1007","1007","","GCF_000182385.1_ASM18238v1_03097"
"rplR","","50S ribosomal protein L18","1","1","1","521","173","900","6","","353","353","353","","GCF_000182385.1_ASM18238v1_03117"
"rpsE","","30S ribosomal protein S5","1","1","1","521","172","900","7","","503","503","503","","GCF_000182385.1_ASM18238v1_03118"
"rpmD","","50S ribosomal protein L30","1","1","1","521","171","900","5","","176","176","176","","GCF_000182385.1_ASM18238v1_03119"
"rplO","","50S ribosomal protein L15","1","1","1","521","170","900","4","","434","434","434","","GCF_000182385.1_ASM18238v1_03120"
"secY","","Protein translocase subunit SecY","1","1","1","521","169","900","3","","1334","1334","1334","","GCF_000182385.1_ASM18238v1_03121"
"rpmJ","","50S ribosomal protein L36","1","1","1","521","168","900","2","","113","113","113","","GCF_000182385.1_ASM18238v1_03122"
"rpsM","","30S ribosomal protein S13","1","1","1","521","167","900","1","","356","356","356","","GCF_000182385.1_ASM18238v1_03123"
"group_1998","","hypothetical protein","1","1","1","521","7","30","1","","659","659","659","","GCF_000182385.1_ASM18238v1_03145"
"rplU","","50S ribosomal protein L21","1","1","1","521","121","152","1","","311","311","311","","GCF_000182385.1_ASM18238v1_03169"
"group_2","","hypothetical protein","1","1","1","517","99","17","1","","104","104","104","GCF_000154045.1_ASM15404v1_04071",""
"group_20","","hypothetical protein","1","1","1","516","48","43","1","","1028","1028","1028","","GCF_000182385.1_ASM18238v1_01970"
"group_2000","","hypothetical protein","1","1","1","521","108","60","1","","782","782","782","","GCF_000182385.1_ASM18238v1_03183"
"group_2001","","hypothetical protein","1","1","1","521","90","71","1","","548","548","548","","GCF_000182385.1_ASM18238v1_03189"
"group_2002","intA_1","Prophage integrase IntA","1","1","1","521","60","928","19","","1367","1367","1367","","GCF_000182385.1_ASM18238v1_03219"
"group_2003","","hypothetical protein","1","1","1","521","59","928","20","","617","617","617","","GCF_000182385.1_ASM18238v1_03220"
"group_2004","","hypothetical protein","1","1","1","521","58","928","18","","287","287","287","","GCF_000182385.1_ASM18238v1_03222"
"group_2005","","hypothetical protein","1","1","1","521","57","928","17","","995","995","995","","GCF_000182385.1_ASM18238v1_03223"
"group_2006","","hypothetical protein","1","1","1","521","56","928","16","","1772","1772","1772","","GCF_000182385.1_ASM18238v1_03224"
"group_2007","","putative type I restriction enzymeP M protein","1","1","1","521","55","928","15","","1490","1490","1490","","GCF_000182385.1_ASM18238v1_03225"
"group_2008","","hypothetical protein","1","1","1","521","54","928","14","","398","398","398","","GCF_000182385.1_ASM18238v1_03226"
"group_2009","","hypothetical protein","1","1","1","521","53","928","13","","110","110","110","","GCF_000182385.1_ASM18238v1_03227"
"group_2010","","hypothetical protein","1","1","1","521","52","928","12","","149","149","149","","GCF_000182385.1_ASM18238v1_03228"
"group_2011","","hypothetical protein","1","1","1","521","51","928","11","","365","365","365","","GCF_000182385.1_ASM18238v1_03229"
"group_2012","","hypothetical protein","1","1","1","521","18","928","10","","206","206","206","","GCF_000182385.1_ASM18238v1_03230"
"group_2013","","hypothetical protein","1","1","1","521","19","928","9","","284","284","284","","GCF_000182385.1_ASM18238v1_03231"
"dpnA","","Modification methylase DpnIIB","1","1","1","521","20","928","8","","662","662","662","","GCF_000182385.1_ASM18238v1_03232"
"group_2015","","hypothetical protein","1","1","1","521","21","928","7","","2444","2444","2444","","GCF_000182385.1_ASM18238v1_03233"
"group_2016","","hypothetical protein","1","1","1","521","22","928","6","","1157","1157","1157","","GCF_000182385.1_ASM18238v1_03234"
"group_2017","","hypothetical protein","1","1","1","521","23","928","5","","164","164","164","","GCF_000182385.1_ASM18238v1_03235"
"group_2018","","hypothetical protein","1","1","1","521","24","928","4","","815","815","815","","GCF_000182385.1_ASM18238v1_03236"
"group_2019","","hypothetical protein","1","1","1","521","25","928","3","","1589","1589","1589","","GCF_000182385.1_ASM18238v1_03237"
"mscS_2","","Small-conductance mechanosensitive channel","1","1","1","422","1","356","2","Investigate","365","365","365","GCF_000154045.1_ASM15404v1_03617",""
"hipA","","Serine/threonine-protein kinase toxin HipA","1","1","1","521","26","928","2","","1406","1406","1406","","GCF_000182385.1_ASM18238v1_03238"
"group_2021","","hypothetical protein","1","1","1","521","27","928","1","","335","335","335","","GCF_000182385.1_ASM18238v1_03239"
"catD","","3-oxoadipate enol-lactonase 2","1","1","1","521","45","63","1","","815","815","815","","GCF_000182385.1_ASM18238v1_03246"
"uppP","","Undecaprenyl-diphosphatase","1","1","1","521","41","26","1","","803","803","803","","GCF_000182385.1_ASM18238v1_03250"
"sodB","","Superoxide dismutase [Fe]","1","1","1","185","1","328","1","Investigate","584","584","584","","GCF_000182385.1_ASM18238v1_03263"
"grxD","","Glutaredoxin 4","1","1","1","185","2","328","2","Investigate","335","335","335","","GCF_000182385.1_ASM18238v1_03264"
"group_2026","","hypothetical protein","1","1","1","523","128","181","1","","941","941","941","","GCF_000182385.1_ASM18238v1_03273"
"group_2027","","hypothetical protein","1","1","1","523","119","225","1","","746","746","746","","GCF_000182385.1_ASM18238v1_03292"
"group_2028","","hypothetical protein","1","1","1","523","117","404","1","","401","401","401","","GCF_000182385.1_ASM18238v1_03300"
"group_2029","","hypothetical protein","1","1","1","523","118","404","2","","629","629","629","","GCF_000182385.1_ASM18238v1_03301"
"group_2030","","hypothetical protein","1","1","1","523","215","118","1","","350","350","350","","GCF_000182385.1_ASM18238v1_03362"
"cueR_1","","HTH-type transcriptional regulator CueR","1","1","1","523","296","153","1","","386","386","386","","GCF_000182385.1_ASM18238v1_03440"
"group_2032","ribD_1","Riboflavin biosynthesis protein RibD","1","1","1","523","107","166","1","","425","425","425","","GCF_000182385.1_ASM18238v1_03469"
"group_2033","","hypothetical protein","1","1","1","523","353","229","1","","254","254","254","","GCF_000182385.1_ASM18238v1_03495"
"group_2034","","hypothetical protein","1","1","1","523","105","826","3","","1751","1751","1751","","GCF_000182385.1_ASM18238v1_03608"
"yieH","","6-phosphogluconate phosphatase","1","1","1","523","104","826","2","","668","668","668","","GCF_000182385.1_ASM18238v1_03609"
"group_2036","","hypothetical protein","1","1","1","523","103","826","1","","215","215","215","","GCF_000182385.1_ASM18238v1_03610"
"yceJ","","Cytochrome b561 ","1","1","1","523","473","874","4","","539","539","539","","GCF_000182385.1_ASM18238v1_03618"
"yceI","","Protein YceI","1","1","1","523","474","874","5","","569","569","569","","GCF_000182385.1_ASM18238v1_03619"
"cysL","","HTH-type transcriptional regulator CysL","1","1","1","523","476","874","2","","920","920","920","","GCF_000182385.1_ASM18238v1_03621"
"nhaP2_3","","K(+)/H(+) antiporter NhaP2","1","1","1","325","1","604","1","Investigate","722","722","722","GCF_000154045.1_ASM15404v1_03666",""
"ycdZ","","Inner membrane protein YcdZ","1","1","1","523","477","874","1","","482","482","482","","GCF_000182385.1_ASM18238v1_03622"
"group_2041","","NAD 5'-nucleotidase","1","1","1","523","479","38","1","","1742","1742","1742","","GCF_000182385.1_ASM18238v1_03624"
"group_2042","","hypothetical protein","1","1","1","523","481","36","1","","191","191","191","","GCF_000182385.1_ASM18238v1_03626"
"group_2043","","hypothetical protein","1","1","1","523","529","921","14","","1049","1049","1049","","GCF_000182385.1_ASM18238v1_03662"
"group_2044","","hypothetical protein","1","1","1","523","525","921","10","","734","734","734","","GCF_000182385.1_ASM18238v1_03666"
"group_2045","","hypothetical protein","1","1","1","523","524","921","9","","335","335","335","","GCF_000182385.1_ASM18238v1_03667"
"group_2046","","hypothetical protein","1","1","1","523","523","921","8","","716","716","716","","GCF_000182385.1_ASM18238v1_03668"
"group_2047","","hypothetical protein","1","1","1","523","521","921","6","","386","386","386","","GCF_000182385.1_ASM18238v1_03670"
"group_2048","","hypothetical protein","1","1","1","523","519","921","4","","143","143","143","","GCF_000182385.1_ASM18238v1_03672"
"tsdA","","Thiosulfate dehydrogenase","1","1","1","514","17","754","2","","1052","1052","1052","","GCF_000182385.1_ASM18238v1_03704"
"leuS_1","","Leucine--tRNA ligase","1","1","1","278","1","729","1","Investigate","518","518","518","GCF_000154045.1_ASM15404v1_00575",""
"group_2050","","Cytochrome c4","1","1","1","514","1","754","1","","611","611","611","","GCF_000182385.1_ASM18238v1_03705"
"group_2051","yciB","putative intracellular septation protein A","1","1","1","514","54","837","2","","563","563","563","","GCF_000182385.1_ASM18238v1_03747"
"group_2052","","hypothetical protein","1","1","1","514","53","837","3","","242","242","242","","GCF_000182385.1_ASM18238v1_03748"
"luxN","","Autoinducer 1 sensor kinase/phosphatase LuxN","1","1","1","514","52","837","1","","2552","2552","2552","","GCF_000182385.1_ASM18238v1_03749"
"polB","","DNA polymerase II","1","1","1","514","33","725","2","","2363","2363","2363","","GCF_000182385.1_ASM18238v1_03767"
"uvrY","","Response regulator UvrY","1","1","1","514","32","725","1","","644","644","644","","GCF_000182385.1_ASM18238v1_03768"
"group_2056","","hypothetical protein","1","1","1","522","43","155","1","","110","110","110","","GCF_000182385.1_ASM18238v1_03778"
"mdtL_3","","Multidrug resistance protein MdtL","1","1","1","522","93","96","1","","1193","1193","1193","","GCF_000182385.1_ASM18238v1_03791"
"group_2058","","hypothetical protein","1","1","1","519","207","176","1","","1460","1460","1460","","GCF_000182385.1_ASM18238v1_03860"
"group_2059","","hypothetical protein","1","1","1","519","153","134","1","","983","983","983","","GCF_000182385.1_ASM18238v1_03872"
"infA","","Translation initiation factor IF-1","1","1","1","519","226","200","1","","218","218","218","","GCF_000182385.1_ASM18238v1_03881"
"group_2061","","hypothetical protein","1","1","1","519","252","108","1","","869","869","869","","GCF_000182385.1_ASM18238v1_03908"
"ybgC","","Acyl-CoA thioester hydrolase YbgC","1","1","1","519","263","253","1","","419","419","419","","GCF_000182385.1_ASM18238v1_03918"
"group_2063","","hypothetical protein","1","1","1","519","274","47","1","","569","569","569","","GCF_000182385.1_ASM18238v1_03928"
"xerC_4","","Tyrosine recombinase XerC","1","1","1","519","151","905","1","","1136","1136","1136","","GCF_000182385.1_ASM18238v1_03934"
"group_2065","","hypothetical protein","1","1","1","519","150","905","8","","1790","1790","1790","","GCF_000182385.1_ASM18238v1_03935"
"group_2066","","hypothetical protein","1","1","1","519","149","905","7","","230","230","230","","GCF_000182385.1_ASM18238v1_03936"
"group_2067","","hypothetical protein","1","1","1","519","148","905","6","","242","242","242","","GCF_000182385.1_ASM18238v1_03937"
"group_2068","","hypothetical protein","1","1","1","519","147","905","5","","389","389","389","","GCF_000182385.1_ASM18238v1_03938"
"group_2069","","hypothetical protein","1","1","1","519","146","905","4","","629","629","629","","GCF_000182385.1_ASM18238v1_03939"
"yebS_1","","Intermembrane transport protein YebS","1","1","1","41","1","670","1","Investigate","362","362","362","GCF_000154045.1_ASM15404v1_00611",""
"group_2070","","hypothetical protein","1","1","1","519","145","905","3","","89","89","89","","GCF_000182385.1_ASM18238v1_03940"
"group_2071","","hypothetical protein","1","1","1","519","144","905","2","","521","521","521","","GCF_000182385.1_ASM18238v1_03941"
"group_2072","","hypothetical protein","1","1","1","519","143","211","1","","1637","1637","1637","","GCF_000182385.1_ASM18238v1_03954"
"group_2073","","hypothetical protein","1","1","1","519","301","77","1","","95","95","95","","GCF_000182385.1_ASM18238v1_03959"
"group_2074","","hypothetical protein","1","1","1","519","305","168","1","","959","959","959","","GCF_000182385.1_ASM18238v1_03961"
"serS","","Serine--tRNA ligase","1","1","1","519","316","3","1","","1307","1307","1307","","GCF_000182385.1_ASM18238v1_03972"
"group_2076","","hypothetical protein","1","1","1","519","141","818","1","","713","713","713","","GCF_000182385.1_ASM18238v1_03974"
"ybiI","","putative protein YbiI","1","1","1","519","140","818","3","","266","266","266","","GCF_000182385.1_ASM18238v1_03975"
"bioA","","Adenosylmethionine-8-amino-7-oxononanoate aminotransferase","1","1","1","519","139","818","2","","1280","1280","1280","","GCF_000182385.1_ASM18238v1_03976"
"group_2079","","hypothetical protein","1","1","1","519","134","254","1","","113","113","113","","GCF_000182385.1_ASM18238v1_03981"
"fetB","","putative iron export permease protein FetB","1","1","1","519","1","56","1","","812","812","812","","GCF_000182385.1_ASM18238v1_04021"
"mprA_2","","Response regulator MprA","1","1","1","519","44","209","1","","659","659","659","","GCF_000182385.1_ASM18238v1_04071"
"group_2082","","hypothetical protein","1","1","1","519","3","824","1","","512","512","512","","GCF_000182385.1_ASM18238v1_04096"
"lysO","","Lysine exporter LysO","1","1","1","519","2","824","2","","905","905","905","","GCF_000182385.1_ASM18238v1_04097"
"group_2084","","hypothetical protein","1","1","1","519","4","824","3","","920","920","920","","GCF_000182385.1_ASM18238v1_04098"
